Model,Dataset,VoxConverse-dev,VoxConverse-test,RAMC-test (median 1 subsampling 5 collar 0),MSDWild-test (median 11 subsampling 10 collar 0.25),
Diaper,Published: PT_2pks + Adapt_10spks,,23.2,38.05,35.7,
Diaper,Published: PT_2pks + Adapt_10spks + FT,,,21.1,15.5,
Diaper,Rerun on published weight (no FT),34.34,40.67,37.09,,
Diaper,Retrain 100h,75.88,80.79,68.37,,
Diaper,Retrain 300h,,54.83,40.24,,
Diaper,Retrain 500h-fix 2spks,,50.42,33.11,,
Diaper,Pretrained 500h_2spks + adapt 300h_max5spks,,49.05,37.71,,
Diaper,Pretrained 500h_2spks + adapt 300h_max5spks + FT train set,,,26.11 (epoch 90-100),,"24.41 (epoch 340-350) 24.07 (epoch 390-400)"
Conformer base (weighted_avg + conv_kernel _3 + batchnorm) x4 layers,Pretrained 500h_2spks + adapt 300h_max5spks + FT train set,,,27.57 (epoch 90-100),,"29.36 (epoch 340-350) 29.29 (epoch 390-400)"
Diaper (10 attractors) (vanila),Pretrained 500h_2spks + adapt 300h_max10spks + FT train set,,,26.17 (epoch 69-79),21.08 (epoch 66-76),26.34 (epoch 66-76)
Conformer base (weighted_avg + conv_kernel _3 + batchnorm) x4 layers,Pretrained 500h_2spks + adapt 300h_max10spks + FT train set,,,26.98 (epoch 119-129),21.21 (epoch 83-93),29.46 (epoch 83-93)
12+maskediversity,adapt 300h_max10spks + FT train set,,,26.97 (epoch 142-152),21.49 (epoch 59-69),31.33 (epoch 59-69)
Conformer base (weighted_avg + conv_kernel _3 + layernorm) x4 layers,Pretrained 500h_2spks + adapt 300h_max10spks + FT train set,,,25.79 (epoch 105-115),20.00 (epoch 117-127),"27.28 (epoch 110-120) 27.27 (epoch 117-127)"
Conformer base (linear_diversity + conv_kernel _3 + batchnorm) x4 layers,Pretrained 500h_2spks + adapt 300h_max10spks + FT train set,,,25.30 (epoch 152-162),21.83 (epoch 50-60),27.28 (epoch 50-60)
Conformer base (weighted_avg + conv_kernel _5 + batchnorm) x4 layers,Pretrained 500h_2spks + adapt 300h_max10spks + FT train set,,,24.12 (epoch 135-145),21.30 (epoch 84-94),28.30 (epoch 84-94)
Conformer base (weighted_avg + conv_kernel _31 + batchnorm) x4 layers,Pretrained 500h_2spks + adapt 300h_max10spks + FT train set,,,23.85 (epoch 142-152),19.54 (epoch 98-108),26.28 (epoch 98-108)
(17) pretrained + remove l2aentropy,adapt 300h_max10spks + FT train set,,,24.21 (epoch 177-187),20.31 (epoch 112-122),27.28 (epoch 112-122)
(17) pretrained + (weighted_avg->mlp + unmaskeddiv),adapt 300h_max10spks + FT train set,,,24.56 (epoch 153-163),19.17 (epoch 156-166),25.33 (epoch 156-166)
(19) adapt + finetune mixdata,FT train set + mix synthetic,,,,20.30 (epoch 77-87),27.68 (epoch 77-87)
